                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     41,                 1.5722,                 2.1657,                 1.2482,                 1.8486,                0.67969,                0.50222,                0.58707,                0.33888,                0.69214,                0.49778,                0.58033,                0.29517,                 1.6328,                 2.3623,                 1.5961,                 2.0163,              0.0016139,              0.0016139,              0.0016139
                     42,                 1.5742,                 2.2296,                 1.2326,                 1.8212,                   0.67,                0.54143,                0.59064,                0.33876,                0.65548,                0.54889,                0.58237,                0.30005,                 1.6676,                 2.3827,                 1.6963,                 2.0277,               0.001604,               0.001604,               0.001604
                     43,                 1.5857,                 2.1671,                 1.2437,                 1.8673,                0.68149,                0.56582,                0.62148,                0.34881,                0.67614,                0.56137,                0.61714,                0.31684,                 1.6794,                 2.3065,                 1.5288,                 2.0051,              0.0015941,              0.0015941,              0.0015941
                     44,                 1.5363,                 2.1106,                 1.2382,                 1.8129,                0.63105,                0.45111,                0.50152,                0.28969,                 0.6381,                0.43556,                0.49349,                0.24619,                 1.6881,                 2.3506,                 1.7046,                 2.1015,              0.0015842,              0.0015842,              0.0015842
                     45,                 1.5014,                 2.1472,                 1.2078,                 1.8015,                0.68662,                0.53111,                0.57642,                0.33269,                0.74661,                0.49764,                0.56985,                0.30373,                 1.6597,                 2.4124,                  1.573,                 2.0242,              0.0015743,              0.0015743,              0.0015743
                     46,                 1.5106,                 2.2335,                 1.2005,                 1.7992,                0.65265,                 0.5595,                0.59367,                0.34302,                0.65521,                0.56444,                0.59454,                0.30363,                 1.6344,                 2.2756,                 1.4599,                 2.0194,              0.0015644,              0.0015644,              0.0015644
                     47,                 1.4807,                 2.0873,                 1.1364,                 1.7833,                0.70559,                0.52889,                0.58864,                0.34957,                0.71495,                0.52889,                 0.5899,                0.31337,                 1.6088,                 2.2718,                 1.5332,                 1.9924,              0.0015545,              0.0015545,              0.0015545
                     48,                  1.449,                 2.0663,                 1.1397,                 1.7597,                 0.7104,                0.53422,                0.58889,                0.33306,                0.76391,                0.51333,                0.58605,                0.29361,                 1.6473,                 2.3245,                 1.5182,                 2.0134,              0.0015446,              0.0015446,              0.0015446
                     49,                 1.4417,                 2.1537,                 1.1294,                 1.7486,                0.75687,                0.53333,                0.60676,                0.34663,                0.75008,                0.53111,                 0.5945,                0.30599,                 1.6138,                 2.3246,                 1.5367,                 1.9801,              0.0015347,              0.0015347,              0.0015347
                     50,                 1.4467,                 2.0618,                 1.1594,                 1.7609,                0.66316,                0.59778,                0.62789,                0.35592,                0.67147,                0.59954,                0.62455,                0.33061,                 1.6602,                 2.2602,                 1.5666,                 1.9907,              0.0015248,              0.0015248,              0.0015248
                     51,                  1.458,                 2.0638,                  1.157,                 1.7495,                0.63232,                0.55778,                0.58714,                0.33914,                0.63552,                0.55111,                0.58109,                0.30596,                 1.6181,                 2.2248,                 1.4879,                 1.9598,              0.0015149,              0.0015149,              0.0015149
                     52,                 1.4931,                 2.0905,                 1.1477,                 1.7552,                0.62083,                0.52032,                 0.5663,                0.31368,                0.66918,                0.50794,                0.56044,                0.27386,                 1.6854,                 2.2969,                 1.6254,                 2.0473,               0.001505,               0.001505,               0.001505
                     53,                 1.4577,                 2.0709,                 1.1447,                 1.7452,                0.64371,                0.57012,                0.60598,                0.35607,                0.63825,                0.56444,                0.59504,                0.31596,                 1.5729,                 2.2167,                 1.3897,                 1.9281,              0.0014951,              0.0014951,              0.0014951
                     54,                 1.4402,                 2.0687,                 1.1202,                 1.7243,                 0.7236,                0.52889,                0.60808,                 0.3438,                0.71596,                0.52222,                 0.6024,                0.30089,                  1.668,                 2.2541,                 1.3874,                 1.9651,              0.0014852,              0.0014852,              0.0014852
                     55,                 1.4626,                  2.087,                 1.1249,                 1.7646,                0.69333,                0.55264,                0.61817,                0.35438,                0.69164,                0.54889,                0.60846,                0.31421,                 1.6242,                 2.1944,                 1.3783,                 1.9834,              0.0014753,              0.0014753,              0.0014753
                     56,                 1.4283,                 2.0764,                 1.1029,                 1.7186,                 0.7869,                0.52889,                0.63804,                0.38611,                0.79205,                0.52667,                0.62929,                 0.3379,                 1.5316,                 2.1726,                 1.3135,                 1.9406,              0.0014654,              0.0014654,              0.0014654
                     57,                 1.3695,                 1.9462,                 1.0766,                 1.6612,                0.75258,                0.61509,                0.67035,                0.38799,                0.77243,                0.59111,                0.65915,                 0.3375,                 1.5652,                 2.2744,                 1.3081,                 1.9061,              0.0014555,              0.0014555,              0.0014555
                     58,                 1.4053,                 2.0161,                 1.0871,                  1.707,                0.76301,                0.51778,                0.61562,                0.35213,                0.77668,                0.52444,                0.61242,                0.31069,                 1.5906,                 2.2206,                 1.3933,                 1.9785,              0.0014456,              0.0014456,              0.0014456
                     59,                 1.4178,                 2.0366,                 1.0583,                 1.6945,                0.73044,                0.59012,                0.64401,                0.36156,                0.75404,                0.59333,                0.64726,                 0.3312,                 1.6047,                 2.2081,                 1.4631,                 1.9541,              0.0014357,              0.0014357,              0.0014357
                     60,                  1.364,                 1.9512,                 1.0442,                 1.6674,                0.67004,                   0.58,                0.64123,                0.38829,                0.67829,                0.58667,                0.63882,                0.35502,                 1.5162,                 2.1816,                 1.3392,                 1.8938,              0.0014258,              0.0014258,              0.0014258
                     61,                 1.3802,                 2.0081,                 1.0558,                  1.685,                0.73069,                0.59111,                0.65176,                0.39315,                0.73069,                0.59111,                 0.6584,                0.35642,                 1.5197,                 2.1519,                 1.3629,                 1.8895,              0.0014159,              0.0014159,              0.0014159
                     62,                  1.384,                  2.017,                 1.0633,                   1.69,                0.69002,                0.55778,                0.62399,                0.36311,                0.67643,                0.54889,                0.60627,                0.32847,                 1.6054,                 2.2223,                 1.4356,                 1.9249,               0.001406,               0.001406,               0.001406
